"","year","CO2","CH4","NO2","SGG","location","latitude","longitude","location_name","country","state","count","mean","min","max"
"148",1884,289.70582,0.84418,0.27681,3.8e-05,"075050",-33.61,146.32,"NARADHAN","Australia","New South Wales",366,0.909016393442623,0,24.1
"149",1884,289.70582,0.84418,0.27681,3.8e-05,"085096",-39.13,146.42,"WILSONS","Australia","Victoria",366,2.61174863387978,0,43.2
"150",1884,289.70582,0.84418,0.27681,3.8e-05,"018045",-33.95,135.27,"LAKE","Australia","South Australia",365,0.815068493150685,0,28.7
"151",1884,289.70582,0.84418,0.27681,3.8e-05,"069018",-35.91,150.15,"MORUYA","Australia","New South Wales",336,1.34107142857143,0,40.6
"152",1884,289.70582,0.84418,0.27681,3.8e-05,"082001",-36.37,146.71,"BEECHWORTH","Australia","Victoria",366,1.61366120218579,0,51.3
"153",1884,289.70582,0.84418,0.27681,3.8e-05,"018069",-33.65,134.89,"ELLISTON","Australia","South Australia",366,0.923770491803279,0,30.5
"154",1884,289.70582,0.84418,0.27681,3.8e-05,"047029",-33.39,142.57,"POONCARIE","Australia","New South Wales",366,0.482513661202186,0,21.3
"155",1884,289.70582,0.84418,0.27681,3.8e-05,"088060",-37.45,145.21,"WALLABY","Australia","Victoria",350,3.26428571428571,0,55.6
"156",1884,289.70582,0.84418,0.27681,3.8e-05,"026025",-37.38,140.84,"PENOLA","Australia","South Australia",366,1.97213114754098,0,38.1
"157",1884,289.70582,0.84418,0.27681,3.8e-05,"062021",-32.6,149.6,"MUDGEE","Australia","New South Wales",366,1.37814207650273,0,43.7
"158",1884,289.70582,0.84418,0.27681,3.8e-05,"074128",-35.55,144.95,"DENILIQUIN","Australia","New South Wales",366,0.756010928961749,0,27.9
"159",1884,289.70582,0.84418,0.27681,3.8e-05,"022000",-34.42,137.92,"ARDROSSAN","Australia","South Australia",366,1.08715846994536,0,57.7
"160",1884,289.70582,0.84418,0.27681,3.8e-05,"058063",-28.88,153.05,"CASINO","Australia","New South Wales",366,2.77404371584699,0,133.4
"161",1884,289.70582,0.84418,0.27681,3.8e-05,"022020",-33.93,137.63,"WALLAROO","Australia","South Australia",330,0.940606060606061,0,29.2
"162",1884,289.70582,0.84418,0.27681,3.8e-05,"022009",-34.77,137.59,"MINLATON","Australia","South Australia",361,1.05789473684211,0,63.5
"163",1884,289.70582,0.84418,0.27681,3.8e-05,"089005",-37.45,143.36,"BEAUFORT","Australia","Victoria",366,1.80928961748634,0,44.5
